"Indicativo","NOMBRE","PROVINCIA","MUNICIPIO","ALTITUD","LONGITUD","LATITUD","DATUM","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre","anual","Archivo_Origen"
"1024E","SAN SEBASTIÁN,IGUELDO","GIPUZKOA","DONOSTIA/SAN SEBASTIÁN",251,202282,431823,"ETRS89","42","46","33","32","52","39","55","46","55","30","50","22","42","P_SOL_2020.csv"
"1082","BILBAO/AEROPUERTO","BIZKAIA","LOIU",42,254232,431753,"ETRS89","37","40","29","26","46","33","45","43","54","26","46","19","37","P_SOL_2020.csv"
"1109","SANTANDER/PARAYAS","CANTABRIA","CAMARGO",3,349322,432526,"ETRS89","36","44",NA,NA,NA,"34","47","44","53","33","49","20",NA,"P_SOL_2020.csv"
"1111","SANTANDER I,CMT","CANTABRIA","SANTANDER",52,348022,432928,"ETRS89","41","44","41","35","56","41","56","47","62","38","51","22","45","P_SOL_2020.csv"
"1208H","GIJÓN, MUSEL","ASTURIAS","GIJÓN",5,542032,433336,"ETRS89","41","51",NA,NA,NA,"35",NA,NA,NA,NA,NA,NA,NA,"P_SOL_2020.csv"
"1212E","ASTURIAS/AVILÉS","ASTURIAS","CASTRILLÓN",127,602392,433401,"ETRS89","43","50","40","25","53","35","49","48","56","37","53","25","43","P_SOL_2020.csv"
"1249I","OVIEDO","ASTURIAS","OVIEDO",336,552272,432112,"ETRS89","46","57",NA,"26","53","31","39","44","52","39","54","25",NA,"P_SOL_2020.csv"
"1387","A CORUÑA","A CORUÑA","A CORUÑA",58,825172,432157,"ETRS89","41","45","46","32","61","45","71","53","67","41","50","26","48","P_SOL_2020.csv"
"1387E","A CORUÑA/ALVEDRO","A CORUÑA","CULLEREDO",98,822192,431825,"ETRS89",NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P_SOL_2020.csv"
"1428","SANTIAGO DE COMPOSTELA/LABACOLLA","A CORUÑA","O PINO",370,824382,425317,"ETRS89","42","43","51","24","58","42","77","49","61","32","44","21","45","P_SOL_2020.csv"
"1484C","PONTEVEDRA","PONTEVEDRA","PONTEVEDRA",108,836572,422618,"ETRS89","42","47","61","40","67",NA,"87","62","67","40","48","23",NA,"P_SOL_2020.csv"
"1495","VIGO/PEINADOR","PONTEVEDRA","REDONDELA",261,837262,421419,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
